country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
EST,2008,4,4,16,3,19,0.15789473684210525,0.15625
EST,2009,25,20,57,7,64,0.109375,0.09392857142857143
EST,2010,17,16,102,15,117,0.1282051282051282,0.1277101370851371
EST,2014,42,35,158,30,188,0.1595744680851064,0.1888932496075353
EST,2015,98,93,388,142,530,0.2679245283018868,0.33873727825340727
EST,2016,158,149,688,177,865,0.2046242774566474,0.25547528464913716
EST,2017,186,152,799,170,969,0.17543859649122806,0.17252506156011532
EST,2018,58,56,201,38,239,0.1589958158995816,0.14225256390434962
EST,2019,45,38,196,22,218,0.10091743119266056,0.10576441102756892
EST,2020,43,26,95,21,116,0.1810344827586207,0.12391905480140775
EST,2021,16,11,45,18,63,0.2857142857142857,0.5056960583276373
EST,2022,97,86,420,92,512,0.1796875,0.20632044004587025
EST,2023,211,192,1014,271,1285,0.21089494163424125,0.20760677618128676
EST,2024,273,243,1357,383,1740,0.22011494252873562,0.2050073639040966
FIN,2019,690,469,1478,625,2103,0.29719448407037563,0.3486926950959006
FIN,2020,652,368,719,388,1107,0.35049683830171635,0.368122291355987
FIN,2021,793,448,1019,462,1481,0.31195138419986496,0.3827382450827271
FIN,2022,814,535,1202,546,1748,0.3123569794050343,0.369673599160395
FIN,2023,335,219,561,299,860,0.34767441860465115,0.37333388272663337
FIN,2024,572,384,861,404,1265,0.3193675889328063,0.3711878332661276
FJI,2012,232,184,658,99,757,0.130779392338177,0.13153593839735142
FJI,2013,1580,1436,5056,928,5984,0.15508021390374332,0.12586746087419828
FJI,2014,1295,1173,4992,935,5927,0.15775265733085878,0.15148018116861187
FJI,2015,819,807,4425,927,5352,0.17320627802690583,0.2323146082614803
FJI,2016,314,295,1417,278,1695,0.1640117994100295,0.2613785701247264
FJI,2017,73,71,254,54,308,0.17532467532467533,0.21353304708731385
FJI,2018,23,20,74,22,96,0.22916666666666666,0.29107954545454545
FJI,2019,1395,1321,7864,1994,9858,0.2022722661797525,0.2826596310054697
FJI,2020,1059,1005,5407,1266,6673,0.18971976622208903,0.2929361730708839
FJI,2021,2002,1902,8743,2433,11176,0.21769863994273442,0.25925550292969934
FJI,2022,8072,7944,50111,12287,62398,0.1969133626077759,0.19474480803760882
FJI,2023,1343,1329,7319,2070,9389,0.22047076365960167,0.21298074957813853
FJI,2024,171,168,1195,221,1416,0.1560734463276836,0.18484235475629
FRA,2000,1,1,2,0,2,0.0,0.0
FRA,2009,1,1,1,0,1,0.0,0.0
FRA,2017,9,7,54,12,66,0.18181818181818182,0.14302721088435374
FRA,2018,23,21,138,18,156,0.11538461538461539,0.09956247456247456
FRA,2019,39,26,130,39,169,0.23076923076923078,0.20607725607725608
FRA,2020,200,113,283,67,350,0.19142857142857142,0.18246497589767266
FRA,2021,187,112,277,58,335,0.17313432835820897,0.16595352758008036
FRA,2022,156,94,257,64,321,0.19937694704049844,0.27697645144453653
FRA,2023,53,30,72,21,93,0.22580645161290322,0.23644540644540643
FRA,2024,72,50,90,42,132,0.3181818181818182,0.33684770784770784
GAB,2014,8,8,21,5,26,0.19230769230769232,0.23333333333333334
GAB,2015,18,18,106,12,118,0.1016949152542373,0.09181286549707603
GAB,2018,1,1,14,2,16,0.125,0.125
GAB,2022,1,0,0,0,0,,
GAB,2023,29,26,159,32,191,0.16753926701570682,0.1608233646695185
GAB,2024,166,165,924,148,1072,0.13805970149253732,0.13373765568952736
GBR,2006,14,11,41,6,47,0.1276595744680851,0.24125874125874125
GBR,2007,21,14,38,10,48,0.20833333333333334,0.2698412698412698
