country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio,v2x_polyarchy
EST,2009,19,20,57,7,64,0.109375,0.874
EST,2010,16,16,102,15,117,0.1282051282051282,0.881
EST,2014,35,35,158,30,188,0.1595744680851064,0.887
EST,2015,93,93,388,142,530,0.2679245283018868,0.895
EST,2016,149,149,688,177,865,0.2046242774566474,0.907
EST,2017,152,152,799,170,969,0.175438596491228,0.906
EST,2018,56,56,201,38,239,0.1589958158995816,0.905
EST,2019,30,38,196,22,218,0.1009174311926605,0.898
EST,2020,20,26,95,21,116,0.1810344827586207,0.896
EST,2021,11,11,45,18,63,0.2857142857142857,0.898
EST,2022,75,86,420,92,512,0.1796875,0.895
EST,2023,146,192,1014,271,1285,0.2108949416342412,0.895
EST,2024,139,243,1357,383,1740,0.2201149425287356,0.895
FIN,2019,425,469,1478,625,2103,0.2971944840703756,0.88
FIN,2020,368,368,719,388,1107,0.3504968383017163,0.879
FIN,2021,423,448,1019,462,1481,0.3119513841998649,0.872
FIN,2022,475,535,1202,546,1748,0.3123569794050343,0.873
FIN,2023,198,219,561,299,860,0.3476744186046511,0.865
FIN,2024,370,384,861,404,1265,0.3193675889328063,0.847
FJI,2012,184,184,658,99,757,0.130779392338177,0.137
FJI,2013,1428,1436,5056,928,5984,0.1550802139037433,0.142
FJI,2014,1171,1173,4992,935,5927,0.1577526573308587,0.197
FJI,2015,807,807,4425,927,5352,0.1732062780269058,0.387
FJI,2016,293,295,1417,278,1695,0.1640117994100295,0.398
FJI,2017,71,71,254,54,308,0.1753246753246753,0.405
FJI,2018,20,20,74,22,96,0.2291666666666666,0.404
FJI,2019,763,1321,7864,1994,9858,0.2022722661797525,0.393
FJI,2020,653,1005,5407,1266,6673,0.189719766222089,0.408
FJI,2021,743,1902,8743,2433,11176,0.2176986399427344,0.402
FJI,2022,764,7944,50111,12287,62398,0.1969133626077759,0.399
FJI,2023,198,1329,7319,2070,9389,0.2204707636596016,0.511
FJI,2024,25,168,1195,221,1416,0.1560734463276836,0.516
FRA,2000,1,1,2,0,2,0.0,0.877
FRA,2009,1,1,1,0,1,0.0,0.886
FRA,2017,6,7,54,12,66,0.1818181818181818,0.887
FRA,2018,18,21,138,18,156,0.1153846153846153,0.875
FRA,2019,16,26,130,39,169,0.2307692307692307,0.867
FRA,2020,81,117,297,70,367,0.1907356948228883,0.866
FRA,2021,78,133,423,90,513,0.175438596491228,0.867
FRA,2022,55,97,272,68,340,0.2,0.878
FRA,2023,25,30,72,21,93,0.2258064516129032,0.876
FRA,2024,27,50,90,42,132,0.3181818181818182,0.866
GAB,2014,4,8,21,5,26,0.1923076923076923,0.373
