country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg,women_parl_pct,women_parl_ratio
BLZ,2021,143,136,658,81,739,0.1096075778078484,0.1218205201661083,12.5,0.125
BLZ,2022,222,208,1168,254,1422,0.1786216596343178,0.2120152633050049,12.5,0.125
BLZ,2023,220,207,1273,317,1590,0.1993710691823899,0.1875952875298906,15.625,0.15625
BLZ,2024,160,150,935,281,1216,0.2310855263157894,0.2337212803249955,15.625,0.15625
BOL,2013,49,40,179,28,207,0.1352657004830917,0.1385405219780219,25.3846153846154,0.253846153846154
BOL,2014,190,151,765,175,940,0.1861702127659574,0.1805176379046655,53.0769230769231,0.530769230769231
BOL,2015,224,199,927,263,1190,0.2210084033613445,0.2075822070168803,53.0769230769231,0.530769230769231
BOL,2016,750,705,4048,869,4917,0.1767337807606264,0.1637189233719435,53.0769230769231,0.530769230769231
BOL,2017,1120,1089,6412,1415,7827,0.1807844640347515,0.1799646876615531,53.0769230769231,0.530769230769231
BOL,2018,1002,982,5452,1127,6579,0.1713026295789633,0.1519829998344576,53.0769230769231,0.530769230769231
BOL,2019,1142,1100,6770,1565,8335,0.1877624475104979,0.1793472307874953,53.0769230769231,0.530769230769231
BOL,2020,196,156,866,254,1120,0.2267857142857142,0.2117888788417536,46.1538461538462,0.461538461538462
BOL,2021,702,666,3246,653,3899,0.1674788407283919,0.1685921704291718,46.1538461538462,0.461538461538462
BOL,2022,278,248,1552,359,1911,0.1878597592883307,0.1592910482294595,46.1538461538462,0.461538461538462
BOL,2023,1098,1027,5084,1383,6467,0.2138549559301067,0.2149803549151193,46.1538461538462,0.461538461538462
BOL,2024,760,721,4018,1378,5396,0.2553743513713862,0.2799276024418445,46.1538461538462,0.461538461538462
BRA,2011,6,0,0,0,0,,,8.57699805068226,0.0857699805068226
BRA,2012,7,2,3,0,3,0.0,0.0,8.57699805068226,0.0857699805068226
BRA,2014,28,20,84,13,97,0.134020618556701,0.1880555555555555,9.94152046783626,0.0994152046783626
BRA,2015,277,185,1064,109,1173,0.092924126172208,0.1318576485052457,9.94152046783626,0.0994152046783626
BRA,2016,295,159,797,121,918,0.1318082788671024,0.1672264770211496,9.94152046783626,0.0994152046783626
BRA,2017,68,18,57,7,64,0.109375,0.1442129629629629,10.7212475633528,0.10721247563352801
BRA,2018,30,15,99,16,115,0.1391304347826087,0.1041452991452991,15.009746588694,0.15009746588694
BRA,2019,42,16,113,12,125,0.096,0.0673611111111111,15.009746588694,0.15009746588694
BRA,2020,1,0,0,0,0,,,14.6198830409357,0.146198830409357
BRN,2015,6,6,24,3,27,0.1111111111111111,0.1309523809523809,6.45161290322581,0.06451612903225809
BRN,2016,27,27,104,19,123,0.1544715447154471,0.1215480831708901,6.45161290322581,0.06451612903225809
BRN,2017,8,8,33,6,39,0.1538461538461538,0.1480654761904762,9.09090909090909,0.0909090909090909
BRN,2018,4,4,10,1,11,0.0909090909090909,0.125,9.09090909090909,0.0909090909090909
BRN,2019,12,12,49,9,58,0.1551724137931034,0.1529970760233918,9.09090909090909,0.0909090909090909
BRN,2020,6,6,23,3,26,0.1153846153846153,0.0833333333333333,9.09090909090909,0.0909090909090909
BRN,2021,11,11,39,4,43,0.0930232558139534,0.1015151515151515,9.09090909090909,0.0909090909090909
BRN,2022,11,11,27,3,30,0.1,0.106060606060606,9.09090909090909,0.0909090909090909
BRN,2023,13,13,53,12,65,0.1846153846153846,0.2262237762237762,11.7647058823529,0.117647058823529
BRN,2024,5,5,18,3,21,0.1428571428571428,0.15,11.7647058823529,0.117647058823529
BTN,2008,1,1,2,0,2,0.0,0.0,8.51063829787234,0.0851063829787234
