country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio
FJI,2014,1171,1173,4992,935,5927,0.15775265733085878
FJI,2015,807,807,4425,927,5352,0.17320627802690583
FJI,2016,293,295,1417,278,1695,0.1640117994100295
FJI,2017,71,71,254,54,308,0.17532467532467533
FJI,2018,20,20,74,22,96,0.22916666666666666
FJI,2019,763,1321,7864,1994,9858,0.2022722661797525
FJI,2020,653,1005,5407,1266,6673,0.18971976622208903
FJI,2021,743,1902,8743,2433,11176,0.21769863994273442
FJI,2022,764,7944,50111,12287,62398,0.1969133626077759
FJI,2023,198,1329,7319,2070,9389,0.22047076365960167
FJI,2024,25,168,1195,221,1416,0.1560734463276836
FRA,2000,1,1,2,0,2,0.0
FRA,2009,1,1,1,0,1,0.0
FRA,2017,6,7,54,12,66,0.18181818181818182
FRA,2018,18,21,138,18,156,0.11538461538461539
FRA,2019,16,26,130,39,169,0.23076923076923078
FRA,2020,81,117,297,70,367,0.1907356948228883
FRA,2021,78,133,423,90,513,0.17543859649122806
FRA,2022,55,97,272,68,340,0.2
FRA,2023,25,30,72,21,93,0.22580645161290322
FRA,2024,27,50,90,42,132,0.3181818181818182
GAB,2014,4,8,21,5,26,0.19230769230769232
GAB,2015,13,18,106,12,118,0.1016949152542373
GAB,2018,1,1,14,2,16,0.125
GAB,2023,21,26,159,32,191,0.16753926701570682
GAB,2024,110,165,924,148,1072,0.13805970149253732
GBR,2006,11,11,41,6,47,0.1276595744680851
GBR,2007,14,14,38,10,48,0.20833333333333334
GBR,2008,17,17,66,12,78,0.15384615384615385
GBR,2009,20,20,68,24,92,0.2608695652173913
GBR,2010,220,313,1257,186,1443,0.1288981288981289
GBR,2011,308,437,1938,269,2207,0.12188491164476666
GBR,2012,223,392,1867,287,2154,0.13324048282265552
GBR,2013,851,1256,4967,916,5883,0.15570287268400476
GBR,2014,462,585,2091,543,2634,0.2061503416856492
GBR,2015,320,378,1492,303,1795,0.16880222841225626
GBR,2016,266,312,1104,376,1480,0.25405405405405407
GBR,2017,327,360,1493,376,1869,0.20117710005350456
GBR,2018,556,626,2553,844,3397,0.2484545186929644
GBR,2019,791,905,3779,1204,4983,0.24162151314469196
GBR,2020,624,649,2041,606,2647,0.22893842085379676
GBR,2021,566,592,2070,602,2672,0.2252994011976048
GBR,2022,794,838,2719,922,3641,0.25322713540236197
GBR,2023,821,869,2877,787,3664,0.21479257641921398
GBR,2024,658,696,2153,716,2869,0.24956430812129662
GEO,2013,5,5,36,4,40,0.1
GEO,2014,674,750,5230,570,5800,0.09827586206896552
GEO,2015,741,889,5264,593,5857,0.10124637186272836
GEO,2016,908,1009,6505,732,7237,0.10114688406798397
GEO,2017,514,866,5044,489,5533,0.08837881800108441
GEO,2018,583,857,4637,528,5165,0.10222652468538238
GEO,2019,642,1022,5789,829,6618,0.1252644303414929
GEO,2020,557,863,4922,798,5720,0.1395104895104895
GEO,2021,976,1312,6939,793,7732,0.10256078634247284
GEO,2022,798,1051,5298,494,5792,0.08529005524861878
GEO,2023,808,995,4653,554,5207,0.10639523718071826
GEO,2024,455,777,4447,549,4996,0.10988791032826262
GHA,2015,2,2,17,6,23,0.2608695652173913
GHA,2017,4,18,58,13,71,0.18309859154929578
GHA,2018,118,329,1842,651,2493,0.2611311672683514
GHA,2019,53,53,200,83,283,0.29328621908127206
GHA,2020,11,11,50,17,67,0.2537313432835821
GHA,2021,1,1,11,7,18,0.3888888888888889
GHA,2022,49,49,202,95,297,0.31986531986531985
GHA,2023,41,41,219,107,326,0.3282208588957055
GHA,2024,17,17,108,45,153,0.29411764705882354
GMB,2021,29,29,166,65,231,0.2813852813852814
GMB,2022,67,259,1040,317,1357,0.23360353721444363
GMB,2023,19,19,128,23,151,0.152317880794702
GMB,2024,41,41,302,61,363,0.16804407713498623
GNQ,2019,1705,1705,8736,1589,10325,0.15389830508474575
GNQ,2020,1717,1730,7350,1261,8611,0.1464405992335385
GNQ,2021,1128,3320,17265,2789,20054,0.13907449885309664
GNQ,2022,600,1968,12090,2461,14551,0.16912926946601609
GNQ,2023,1003,3824,23048,4849,27897,0.17381797325877335
GNQ,2024,1162,4645,29169,6466,35635,0.18145082082222533
GRC,2010,11,18,46,5,51,0.09803921568627451
GRC,2011,57,93,344,36,380,0.09473684210526316
GRC,2012,34,58,193,17,210,0.08095238095238096
GRC,2013,83,129,424,31,455,0.06813186813186813
GRC,2014,113,188,629,57,686,0.08309037900874636
GRC,2015,76,121,403,23,426,0.0539906103286385
GRC,2016,77,124,517,30,547,0.054844606946983544
GRC,2017,119,171,597,59,656,0.0899390243902439
GRC,2018,108,162,399,29,428,0.06775700934579439
